,,,,,,,,,,,,,,,,,,,,,,,,
Index,Key,Street Number,Street,Unit,Model,Units,Mutual,Bldg Date,Bldg Code,Phase,Parking Type,Building Type,Elvator (Y/N),SomeOneLives,Steps (Y/N),# of Front Steps,# of Back Steps,Distance to Drop,Distance to Parking,Parking Grade,Carport #,APN,Location,HoaAmount
11273,5159-,5159,Belmez,,Villa Terraza,1,Condominium,9/1/1973,C10RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-159,"33.61544,-117.74468",#N/A
11280,5166-,5166,Belmez,,Villa Terraza,1,Condominium,9/1/1973,C10RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-166,"33.61524,-117.74411",#N/A
11281,5167-,5167,Belmez,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-167,"33.61538,-117.74417",#N/A
11290,5176-,5176,Calzado,,Villa Terraza,1,Condominium,9/1/1973,C10RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-176,"33.61658,-117.74411",#N/A
11296,5182-,5182,Duenas,,Villa Terraza,1,Condominium,9/1/1973,C10B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-182,"33.61699,-117.74412",#N/A
11310,5196-,5196,Duenas,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-196,"33.61768,-117.74432",#N/A
11314,5200-,5200,Avenida Despacio,,Villa Terraza,1,Condominium,9/1/1973,C10RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-200,"33.61741,-117.74469",#N/A
11318,5204-,5204,Avenida Despacio,,Villa Terraza,1,Condominium,9/1/1973,C10RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-204,"33.61795,-117.74501",#N/A
11325,5211-,5211,Elvira,,Villa Terraza,1,Condominium,9/1/1973,C10RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-211,"33.61837,-117.74469",#N/A
11327,5213-,5213,Elvira,,Villa Terraza,1,Condominium,9/1/1973,C10RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-213,"33.6187,-117.7445",#N/A
11331,5217-,5217,Elvira,,Villa Terraza,1,Condominium,9/1/1973,C10A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-217,"33.61936,-117.74424",#N/A
